algorithm,round,client_id,original_size_bytes,delta_size_bytes,reduction_percent
flips,36,98,946174,454621,51.95164948518982
flips,7,19,946203,425067,55.0765533400338
flips,3,7,945134,442614,53.169180243224766
flips,7,2,945763,437957,53.69273274594164
flips,3,59,944507,400888,57.555846595102
flips,3,58,944060,398323,57.807448679109385
flips,28,23,945205,410438,56.57682724911527
flips,14,52,944979,406851,56.946027372036845
flips,21,11,945426,401412,57.541679623788646
flips,0,78,944364,294380,68.8276977944945
flips,4,29,945310,404605,57.198696723826046
flips,8,2,945253,432135,54.28366797037407
flips,3,72,945208,430790,54.42378820323146
flips,16,63,945431,424092,55.142998272745444
flips,4,30,944177,433882,54.046540002563084
flips,5,29,944354,410564,56.52435421462714
flips,8,37,944469,408863,56.70974907593579
flips,4,60,944655,366886,61.161905669265494
flips,5,99,944200,450064,52.33382757890277
flips,1,92,944154,412679,56.29113470895637
flips,5,14,944019,429058,54.54985545841768
flips,15,52,944915,413965,56.19023933369669
flips,29,23,945209,407757,56.86065198278899
flips,0,9,943832,407487,56.826320785902574
flips,0,27,943683,395893,58.04809454022166
flips,7,16,944563,431288,54.33994344474641
flips,3,42,944197,421800,55.32711923465124
flips,4,54,943761,380853,59.645185592538795
flips,4,66,944073,418358,55.68584209060104
flips,30,23,944908,433445,54.128338420248326
flips,14,57,944783,386898,59.04900913754798
flips,37,98,944645,440639,53.35401129524848
flips,6,29,944554,429105,54.570622748937595
flips,41,46,944875,447454,52.64410636327557
flips,38,98,943838,448634,52.46705472761215
flips,0,41,943214,398430,57.75826058561472
flips,2,74,943806,391948,58.47155029741282
flips,5,66,943707,424566,55.01082433424781
flips,1,80,943136,350060,62.8834017575408
flips,4,94,943854,424598,55.01444079274973
flips,3,87,943773,437088,53.687168418676954
flips,5,36,943789,435907,53.81308745916725
flips,1,27,944150,404322,57.1760843086374
flips,1,15,943349,436938,53.68225333360188
flips,2,12,943227,417788,55.7065266367481
flips,39,98,943702,458050,51.462431996541284
flips,3,74,942927,397693,57.82356428440379
flips,6,66,942783,426580,54.75310861566236
flips,1,10,942649,388260,58.81181648736698
flips,6,36,942666,443366,52.96679842064952
flips,0,18,942337,436636,53.6645594941088
flips,2,84,943617,446235,52.71015676911289
flips,7,29,944206,430606,54.39490958540827
flips,5,94,943832,427146,54.74342891531544
flips,8,29,942183,458645,51.32102786825914
flips,8,19,941398,435301,53.76015245411612
flips,3,97,941832,422854,55.10303323735018
flips,4,74,942092,419521,55.46921107492686
flips,7,66,942351,430278,54.33994339688715
flips,7,36,941692,444194,52.83022474439626
flips,1,62,942134,437932,53.51701562622726
flips,40,98,943699,460166,51.23805365905867
flips,3,84,943244,454004,51.86780938972313
flips,31,23,943828,437190,53.67906016774242
flips,17,63,940794,422774,55.06200082058346
flips,5,55,940768,407767,56.655944930099665
flips,3,3,940465,412023,56.18943820344191
flips,42,46,942189,449629,52.2782583961392
flips,6,14,940329,433430,53.906558236532106
flips,3,47,940937,404421,57.01933285650367
flips,8,36,940702,451656,51.987345620610995
flips,0,56,941669,429171,54.42443151468297
flips,2,4,941684,423474,55.030137498354016
flips,3,45,942108,435925,53.72876570414432
flips,2,34,939987,444335,52.729665410266314
flips,22,11,940872,441507,53.07470091574624
flips,6,99,939543,452667,51.820512738639955
flips,3,4,940011,433175,53.91809244785433
flips,43,46,941595,433215,53.9913657145588
flips,0,96,939390,402294,57.17497524989621
flips,4,45,940851,427169,54.597593030139734
flips,0,65,940135,425999,54.68746509809761
flips,0,93,940113,447375,52.41263550232791
flips,3,64,939608,435597,53.640560744480666
flips,5,60,939362,399315,57.49082888173036
flips,4,59,939255,408584,56.49914027606986
flips,16,52,940213,417644,55.57985265041007
flips,2,92,939357,421398,55.13973920458356
flips,1,61,939176,403759,57.0092293670196
flips,16,73,940536,435623,53.68353789753928
flips,9,37,940354,436764,53.553236334401724
flips,9,2,940367,470092,50.00973024361765
flips,44,46,941002,451676,52.00052709771074
flips,23,11,940857,450765,52.089956284536335
flips,4,72,938368,427363,54.45678028236257
flips,5,21,938241,438672,53.24527493469162
flips,5,59,939240,426374,54.604360972701336
flips,2,51,939128,410592,56.279442205961274
flips,17,52,939736,427908,54.465083810772384
flips,2,15,939046,458132,51.21303961680259
flips,6,55,939516,418574,55.44791147782475
flips,45,46,940181,459437,51.133132875478225
flips,17,73,939727,451629,51.94040396838656
flips,10,37,940227,458862,51.196679099834405
flips,7,55,937720,421519,55.0485219468498
flips,4,58,937571,446836,52.34110270048882
flips,2,48,937811,470100,49.87262891989964
flips,5,54,938121,389139,58.51931680454867
flips,9,19,938919,442969,52.82138288819376
flips,2,71,937873,432438,53.89162498547244
flips,5,72,938474,430272,54.151953064229794
flips,2,67,938917,389855,58.478225444847624
flips,1,95,938637,456563,51.35893854599808
flips,41,98,939423,502221,46.53941834509055
flips,42,98,937384,479517,48.84519044489771
flips,2,81,937318,424377,54.72433048335783
flips,1,20,936723,431195,53.967715108948966
flips,3,92,937794,418177,55.40843724741254
flips,7,14,937529,468564,50.021386005126246
flips,1,78,937090,316214,66.25574918097514
flips,0,76,936993,427736,54.3501392219579
flips,3,67,938269,416681,55.59045433665612
